Region,ID,ChemicalName,mean.Control.PBS,mean.0.2.mg.kg.DMSO,mean.2.0.mg.kg.DMSO,mean.4.0.mg.kg.DMSO,FC_lowvsCTRL,FC_medvsCTRL,FC_highvsCTRL,post.hoc.Control.PBS.0.2.mg.kg.DMSO,post.hoc.Control.PBS.2.0.mg.kg.DMSO,post.hoc.Control.PBS.4.0.mg.kg.DMSO
Hippocampus,25,alpha-Guanidinoglutaric-acid,5868675.4,7358414.6,7530694.6,6200505,1.253845902,1.28320176,1.056542504,0.608469789,0.591091046,0.999134909
Cortex,25,alpha-Guanidinoglutaric-acid,4531331.4,5744252.2,6446102.2,6328297.6,1.267674265,1.422562517,1.396564727,0.809924331,0.713048467,0.71371369
Cerebellum,25,alpha-Guanidinoglutaric-acid,4440230,4729836.4,5703503.833,4371506.8,1.065223288,1.284506396,0.984522604,0.99998066,0.635836614,0.960026418
Basal Ganglia,25,alpha-Guanidinoglutaric-acid,6141963.2,6627735,6665936,7351060.8,1.07909064,1.085310313,1.19685849,0.977240001,0.941253396,0.760320761
Hippocampus,26,alpha-Guanidinoglutaric-acid,23902026.2,17344092.6,8785426.2,17072048.8,0.725632733,0.367559893,0.714251112,0.835731671,0.426354707,0.841756973
Cortex,26,alpha-Guanidinoglutaric-acid,29890477.6,21407947.4,32984261.4,16318029.8,0.716212959,1.103503994,0.545927369,0.628072687,0.982038718,0.351798126
Cerebellum,26,alpha-Guanidinoglutaric-acid,26818102.8,16010817.2,19811192.67,13984867.4,0.597015282,0.738724615,0.521471168,0.413315825,0.603709331,0.297915994
Basal Ganglia,26,alpha-Guanidinoglutaric-acid,26768718.8,26497697.4,27125451.2,11914317.2,0.989875444,1.013326465,0.44508358,0.996838001,0.999995235,0.371788186
Hippocampus,27,beta-D-Glucose,13132860.4,12968493.8,12667399.4,16549278.6,0.987484326,0.964557531,1.260142733,0.982056744,0.956378873,0.470269779
Cortex,27,beta-D-Glucose,11608789.2,12083229,8341016.8,9077546,1.040869017,0.718508766,0.78195459,0.994991203,0.473207037,0.635885548
Cerebellum,27,beta-D-Glucose,24906437.6,20804174.4,24420110.67,16596170.4,0.835293057,0.980473846,0.666340593,0.831738952,0.999917503,0.155100441
Basal Ganglia,27,beta-D-Glucose,17623690.6,15922880.4,21025581.4,18359725.4,0.903492961,1.193029421,1.041763942,0.885476329,0.965421743,0.954371302
